id;name;city_id
215;Calle Ortutxueta;1
216;Calle Orueta obispo;1
217;Calle Nadal goyo;1
218;Calle Navarra;1
219;Calle Nerbioi;1
220;Calle Alcorta nicolas;1
221;Calle Tellaetxe pintor;1
222;Calle Norte particular del;1
223;Calle Muros de san pedro;1
224;Calle Arambarri musico;1
225;Calle Sarasate musico;1
226;Calle Usandizaga musico;1
227;Calle Naja;1
228;Calle Baiona;1
229;Calle MaÑaricua andres eliseo de;1
230;Calle Oiz monte;1
231;Calle Saibigain monte;1
232;Calle Monte elorriaga;1
233;Calle Morgan;1
234;Calle Mugica y butron;1
235;Calle Ganekogorta monte;1
236;Calle Ganeta monte;1
237;Calle Intxorta monte;1
238;Calle Izaro monte;1
239;Calle Jata monte;1
240;Calle Mandoia monte;1
241;Calle Moncada;1
242;Calle Gallastegui don claudio;1
243;Calle Aldamiz monte;1
244;Calle Arno monte;1
245;Calle Eretza monte;1
246;Calle Gabika monte;1
247;Calle Mimbres los;1
248;Calle Mina julia;1
249;Calle Mina san luis;1
250;Calle Miribilla;1
251;Calle Mogrobejo nemesio;1
252;Calle Monasterio;1
253;Calle Matiko;1
254;Calle Masustegi;1
255;Calle Mena;1
256;Calle Merced;1
257;Calle Merida;1
258;Calle Eguren enrique;1
259;Calle Altxerri cueva;1
260;Calle Laurencin marques;1
261;Calle Puerto marques del;1
262;Calle Barua picaza martin;1
263;Calle Martzana;1
264;Calle Ornilla doctor;1
265;Calle Menendez y pelayo marcelino;1
266;Calle Oreja marcelino;1
267;Calle Diaz de haro maria;1
268;Calle MuÑoz maria;1
269;Calle Archer marino;1
270;Calle Baldezate filomena;1
271;Calle Iciar maestro;1
272;Calle Mendiri maestro;1
273;Calle Malmasin;1
274;Calle Mandobide;1
275;Calle Allende manuel;1
276;Calle Izarra;1
277;Calle Power luis;1
278;Calle Alzaga toribio;1
279;Calle Luzarra;1
280;Calle Machin;1
281;Calle Gonzalez damian maestro;1
282;Calle Garcia rivero maestro;1
283;Calle LozoÑo;1
284;Calle Lutxana;1
285;Calle Altube seber;1
286;Calle Saturraran;1
287;Calle BriÑas luis;1
288;Calle Universidad de oÑati;1
289;Calle Poza licenciado;1
290;Calle Lezeaga;1
291;Calle Lidon jose maria;1
292;Calle LogroÑo;1
293;Calle Lopez de maturana beata margarita;1
294;Calle Loteria;1
295;Calle Arrospide jon;1
296;Calle UruÑuela leon de;1
297;Calle Leizaola lehendakari;1
298;Calle Lekanda;1
299;Calle Lersundi;1
300;Calle Xenpelar;1
301;Calle Langaran;1
302;Calle Larrakoetxe;1
303;Calle Larraskitu;1
304;Calle Larratundu;1
305;Calle Larrinaga;1
306;Calle Ledesma;1
307;Calle Urquijo julio;1
308;Calle Mendipe;1
309;Calle Labayru;1
310;Calle Laguna la;1
311;Calle Lamana;1
312;Calle Landaorlegi;1
313;Calle Guisasola juan;1
314;Calle Irigoyen juan de;1
315;Calle Cosa juan de la;1
316;Calle Otero blas de;1
317;Calle Urbieta juan de;1
318;Calle Bolivar elorduy julian;1
319;Calle Ugarteburu jose maria;1
320;Calle Barandiaran ayerbe jose miguel de;1
321;Calle Olabarria jose;1
322;Calle Goikolau cueva;1
323;Calle Bilintx;1
324;Calle Gardeazabal juan;1
325;Calle Escuza jose maria;1
326;Calle Olite;1
327;Calle Encartaciones;1
328;Calle SantimamiÑe cueva;1
329;Calle Erronkari;1
330;Calle Olavarri jose maria;1
331;Calle Jardines;1
332;Calle Ekain cuevas;1
333;Calle Balparda gregorio;1
334;Calle Berastegui;1
335;Calle Acebal idigoras;1
336;Calle Durrio francisco escultor;1
337;Calle Iturriaga;1
338;Calle Iturribarria;1
339;Calle Iturribide;1
340;Calle Iturriza;1
341;Calle Jaen;1
342;Calle Jardintxikerra;1
343;Calle Irala;1
344;Calle Iruarrizaga luis;1
345;Calle Irumineta;1
346;Calle Isleta;1
347;Calle Iturburu;1
348;Calle Iturralde;1
349;Calle Ibaialde;1
350;Calle IbaÑez de bilbao;1
351;Calle Ibarrekolanda;1
352;Calle Ibarruri dolores;1
353;Calle Indautxu;1
354;Calle Iparraguirre;1
355;Calle Clara campoamor;1
356;Calle Hernani;1
357;Calle Heros;1
358;Calle Hijas de la caridad;1
359;Calle Huertas de la villa;1
360;Calle Hurtado de amezaga;1
361;Calle Gutierrez abascal r.(juan de la encina);1
362;Calle Henao;1
363;Calle Aguirre hermanos;1
364;Calle Orixe;1
365;Calle Campion arturo;1
366;Calle Mar mediterraneo;1
367;Calle Gortazar juan carlos de;1
368;Calle Goya;1
369;Calle Autonomia;1
370;Calle Alonso bernardino guardia mpal.;1
371;Calle Gipuzkoa;1
372;Calle Gurtubay;1
373;Calle Gimnasio;1
374;Calle Goiko torre;1
375;Calle Goitia;1
376;Calle Gorbeia;1
377;Calle Gordoniz;1
378;Calle Gorliz;1
379;Calle Tellagorri;1
380;Calle Eguia general;1
381;Calle Eraso general;1
382;Calle Georgia;1
383;Calle Salazar general;1
384;Calle Tudela;1
385;Calle Garcia salazar;1
386;Calle Gardoqui cardenal;1
387;Calle Gazteluondo;1
388;Calle Biarritz;1
389;Calle Castillo general;1
390;Calle Concha general;1
391;Calle Fraternidad la;1
392;Calle Fray juan;1
393;Calle Fueros;1
394;Calle Galicia;1
395;Calle Garaizar;1
396;Calle Garate;1
397;Calle Fernandez del campo;1
398;Calle Navarro villoslada;1
399;Calle Figuera angela;1
400;Calle Fika;1
401;Calle Etxepare;1
402;Calle Fontecha y salazar;1
403;Calle Euskalduna;1
404;Calle Extremadura;1
405;Calle Jimenez fernando miembro dya;1
406;Calle Torre heliodoro de la;1
407;Calle Serrate felipe;1
408;Calle Guimon rezola doctor;1
409;Calle Esperanza;1
410;Calle Espinosa orive dr.;1
411;Calle Basurtu estacion de;1
412;Calle Zorrotza estacion de;1
413;Calle Estrauntza;1
414;Calle Etxezuri;1
415;Calle Ercilla;1
416;Calle Erdikoetxe;1
417;Calle Eskurtze;1
418;Calle Esnarritzaga;1
419;Calle Ajuriaguerra juan;1
420;Calle Esperanto;1
421;Calle Enderika;1
422;Calle Ibarreta enrique;1
423;Calle Aguirre domingo de;1
424;Calle Guezala antonio pintor;1
425;Calle Epalza;1
426;Calle Epetxa;1
427;Calle Egileor;1
428;Calle Elcano;1
429;Calle Elexabarri;1
430;Calle Elizalde;1
431;Calle Ellacuria ignacio;1
432;Calle Encarnacion;1
433;Calle Carmelo gil doctores;1
434;Calle Donostia-san sebastian;1
435;Calle Dos de mayo;1
436;Calle Durango;1
437;Calle Echave alfredo de;1
438;Calle EgaÑa;1
439;Calle Alberca doctor;1
440;Calle IruÑa;1
441;Calle Diaz emparanza doctor;1
442;Calle Entrecanales doctor;1
443;Calle Benita asas;1
444;Calle Landin felix doctor;1
445;Calle Elizondo;1
446;Calle Diputacion;1
447;Calle Dique;1
448;Calle Larrakotorre;1
449;Calle Urkiola;1
450;Calle Achucarro doctor;1
451;Calle Sorkunde;1
452;Calle Arenaza cueva;1
453;Calle Txakolin;1
454;Calle Ategorri txakolindegia;1
455;Calle Regoyos dario de;1
456;Calle Deprit lasa amadeo;1
457;Calle Cortes;1
458;Calle Echevarrieta cosme;1
459;Calle Costa;1
460;Calle Cristo del;1
461;Calle Cruz de la;1
462;Calle Medina de pomar;1
463;Calle Viar juan;1
464;Calle Concepcion;1
465;Calle Mirasol conde;1
466;Calle Picasso pablo;1
467;Calle Cordeleria;1
468;Calle Correo;1
469;Calle Cintureria;1
470;Calle Circo amateur del club deportivo;1
471;Calle Ciudadela;1
472;Calle Cocherito de bilbao;1
473;Calle Colon de larreategui;1
474;Calle Labegerie mitxel;1
475;Calle Carniceria vieja;1
476;Calle Caserio garro;1
477;Calle Caserio landaburu;1
478;Calle CastaÑos;1
479;Calle Castresana luis de;1
480;Calle Catalunya;1
481;Calle Cantera;1
482;Calle Capuchinos de basurtu;1
483;Calle Macia francesc;1
484;Calle Karmelo;1
485;Calle Fagoaga tenor;1
486;Calle Bonaparte luis luciano;1
487;Calle Leguina calixto;1
488;Calle Deustu canal de;1
489;Calle Canarias islas;1
490;Calle Cantabria;1
491;Calle Cantalojas;1
492;Calle Cantarranas;1
493;Calle Buenos aires;1
494;Calle Burgos;1
495;Calle Butron;1
496;Calle Caceres;1
497;Calle Cadagua;1
498;Calle Diez calixto;1
499;Calle Bilbao la vieja;1
500;Calle Bizkargi;1
501;Calle Zalbide david bombero;1
502;Calle Braille luis;1
503;Calle Brouard santiago;1
504;Calle Buen pastor;1
505;Calle Alberdi benito;1
506;Calle Bentazarra;1
507;Calle Bernaola carmelo;1
508;Calle Bertendona;1
509;Calle Bidebarrieta;1
510;Calle Bilbao izaurieta;1
511;Calle Lepanto batalla de;1
512;Calle Roncesvalles batalla de;1
513;Calle Berriotxoa san valentin de;1
514;Calle BegoÑazpi;1
515;Calle Belostikale;1
516;Calle Benidorm;1
517;Calle Barraincua;1
518;Calle Barrenkale;1
519;Calle Barrenkalebarrena;1
520;Calle Barroeta aldamar;1
521;Calle Basurtubekoa;1
522;Calle Padura batalla de;1
523;Calle Balears illes;1
524;Calle Ballets olaeta;1
525;Calle Banco bilbao;1
526;Calle Banco espaÑa;1
527;Calle Aranzadi telesforo;1
528;Calle Barinaga;1
529;Calle Avila;1
530;Calle Ayala canciller;1
531;Calle Aznar santiago;1
532;Calle Badajoz;1
533;Calle Bailen;1
534;Calle Bakio;1
535;Calle Astarloa;1
536;Calle Astillero;1
537;Calle Asturias;1
538;Calle Valle aureliano;1
539;Calle Auntzetxeta;1
540;Calle Aurrekoetxea;1
541;Calle Arnotegi;1
542;Calle ArtazuriÑa;1
543;Calle Artalandio;1
544;Calle Artatzamina;1
545;Calle Artekale;1
546;Calle Askao;1
547;Calle Arbolagana;1
548;Calle Arbolantxa;1
549;Calle Arechaga;1
550;Calle Arechavaleta;1
551;Calle Arenal;1
552;Calle Arginao;1
553;Calle Viana principe de;1
554;Calle Aragon;1
555;Calle Arane;1
556;Calle Araneko;1
557;Calle Arbidea;1
558;Calle Arbieto;1
559;Calle Alzola pablo de;1
560;Calle Anboto;1
561;Calle Amistad;1
562;Calle Amparo;1
563;Calle Andalucia;1
564;Calle Salces anselma de;1
565;Calle Alicante;1
566;Calle Allende particular;1
567;Calle GaztaÑeta antonio almirante;1
568;Calle Oquendo almirantes;1
569;Calle Kanpazar alto;1
570;Calle Altube;1
571;Calle Aguirre-aguirre maria;1
572;Calle Aguirre maximo;1
573;Calle Araba;1
574;Calle Albacete;1
575;Calle Xalbador;1
576;Calle Arregui ricardo;1
577;Camino Atxetabidea;1
578;Camino Aluzetabidea;1
579;Camino Aranekobidea;1
580;Camino Arbolantxabidea;1
581;Camino Armotxabidea;1
582;Camino Arraizbidea;1
583;Camino Via vieja de lezama;1
584;Camino Zorrozgoiti;1
585;Camino Zubisikubidea;1
586;Camino Zurbaranbidea;1
587;Camino Tellaetxebidea;1
588;Camino Trokabidea;1
589;Camino Ugaskobidea;1
590;Camino Venta alta;1
591;Camino Bentabarribidea;1
592;Camino Ventosa;1
593;Camino Punta de la;1
594;Camino Errekako;1
595;Camino San felicisimo;1
596;Camino Sanrokebidea;1
597;Camino Saratxebidea;1
598;Camino Seberetxebidea;1
599;Camino Oruetabidea;1
600;Camino Uskortabidea;1
601;Camino Pagasarribidea;1
602;Camino PeÑascal;1
603;Camino Polvorin del;1
604;Camino Ponton del;1
605;Camino Luzuribidea;1
606;Camino Mimbres los;1
607;Camino Miramar;1
608;Camino Molino de viento;1
609;Camino Avril monte;1
610;Camino Otxarkoagabidea;1
611;Camino Ibarrekolanda;1
612;Camino Irustabidea;1
613;Camino Iturrigorribidea;1
614;Camino Junquera de la;1
615;Camino Landetabidea;1
616;Camino Larraskitubidea;1
617;Camino Bosque del;1
618;Camino Kobetabidea;1
619;Camino Etxezuribidea;1
620;Camino Goiribibeaskoa;1
621;Camino Ermudatzabidea;1
622;Camino Ibarsusibidea;1
623;Camino Artsenalbidea;1
624;Camino Artazubidea;1
625;Camino Artigabidea;1
626;Camino Azkaraibidea;1
627;Camino Berrizbidea;1
628;Camino Bolintxubidea;1
629;Canton Sota alejandro de la;1
630;Canton Echevarria "camaron" julian;1
631;Campa Artapeta;1
632;Campa Berriz;1
633;Campa Basarrate;1
634;Campa Uribarri escuelas;1
635;Campa Ibaizabal;1
636;Campa San justo;1
637;Carretera Basurtu-kastrexana;1
638;Carretera Bilbao-galdakao;1
639;Carretera Buia;1
640;Carretera Circunvalacion;1
641;Carretera Corredor del cadagua;1
642;Carretera Enekuri-artxanda;1
643;Carretera Zorrotza-kastrexana;1
644;Carretera Artxanda-santo domingo;1
645;Carretera Errekalde-larraskitu;1
646;Carretera Ibarsusi-santo domingo;1
647;Carretera Santa marina;1
648;Carretera Santo domingo;1
649;Carretera Santo domingo-el gallo;1
650;Carretera Zazpilanda;1
651;Cuesta Olabeaga;1
652;Escalinatas Solokoetxe de;1
653;Estrada Abaro;1
654;Estrada Aldape;1
655;Estrada Salces anselma de;1
656;Estrada Beiti;1
657;Estrada Bizkorta;1
658;Estrada Caleros;1
659;Estrada Zalbidea;1
660;Estrada More;1
661;Estrada San agustin;1
662;Estrada Ventas;1
663;Estrada Mala de;1
664;Estrada Masustegi;1
665;Estrada Mendiarte;1
666;Estrada Mikol;1
667;Estrada Miraflores;1
668;Estrada Entrambasaguas;1
669;Estrada Ezkerribai;1
670;Estrada GiÑa;1
671;Falda Artxanda;1
672;Grupo Aixeona;1
673;Grupo Aldapeta;1
674;Grupo Amistad;1
675;Grupo Arabella;1
676;Grupo Bidegain;1
677;Grupo BegoÑalde;1
678;Grupo Zazpilanda;1
679;Grupo Zubiria ybarra tomas;1
680;Grupo Union begoÑesa;1
681;Grupo Torreurizar;1
682;Grupo Virgen del pinar;1
683;Grupo Garamendi vicente rv.;1
684;Grupo Sagarminaga;1
685;Grupo San joaquin;1
686;Grupo Santa ana;1
687;Grupo Santiago;1
688;Grupo Santo domingo de guzman;1
689;Grupo Nueva aurora;1
690;Grupo Obreros jabonera tapia;1
691;Grupo Obreros talleres deusto;1
692;Grupo Pinadia;1
693;Grupo Popular la;1
694;Grupo Remar;1
695;Grupo Makaldi;1
696;Grupo Cortes pedro medico mun.;1
